Date,Total BTC,Market Cap,Transactions last 24h,Transactions avg. per hour,Bitcoins sent last 24h,Bitcoins sent avg. per hour,Count,Blocks last 24h,Blocks avg. per hour,Difficulty,Next Difficulty,Network Hashrate Terahashs,Network Hashrate PetaFLOPS,Price,Open,High,Low,Vol.,Change %
2/13/20,16522800,1.69215E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"10,235.10","10,321.90","10,482.60","10,116.90",940.30K,-0.80%
2/12/20,16522800,1.71054E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"10,317.70","10,229.30","10,435.60","10,229.30",803.25K,0.86%
2/11/20,16522800,1.69716E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"10,229.50","9,854.00","10,314.10","9,725.10",791.28K,3.81%
2/10/20,16522800,1.62782E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"9,854.10","10,151.50","10,181.70","9,774.80",781.22K,-2.93%
2/9/20,16522800,1.6787E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"10,151.50","9,895.40","10,157.10","9,882.70",617.35K,2.59%
2/8/20,16522800,1.63647E+11,,,,,481823,0,0,9.23233E+11,8.87737E+11,6354668.57,80704290.84,"9,895.50","9,817.30","9,931.20","9,673.20",551.31K,0.78%
